GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1237,618,2629,0,464,3920
1237,618,2629,0,464,3920
1237,618,2629,0,464,3920
1237,618,2629,0,464,3920
1237,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1237,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1237,618,2629,0,464,3920
1237,618,2629,0,464,3920
1237,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,618,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1237,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1237,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1237,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1238,773,2629,0,464,3920
1237,773,2629,0,464,3920
1238,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
1237,773,2629,0,464,3920
