GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1236,2626,2780,0,463,3920
1236,2625,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2934,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1235,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1236,2779,2780,0,463,3920
1235,2934,2780,0,463,3920
1235,2934,2780,0,463,3960
1235,3088,2780,0,463,3960
1235,3088,2779,0,463,3960
1235,3088,2779,0,463,3960
1235,3088,2779,0,463,3960
1235,3088,2779,0,463,3960
1235,3088,2779,0,463,3960
1235,3088,2779,0,463,3960
1235,3088,2779,0,463,3960
1235,3088,2779,0,463,3960
1235,3088,2779,0,463,3960
1235,3088,2779,0,463,3960
1235,3088,2779,0,463,3960
1235,3088,2779,0,463,3960
