GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1085,620,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1240,1240,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1395,1395,2634,0,465,3772
1395,1240,2634,0,465,3772
1395,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3731
1240,1085,2635,0,465,3731
1240,1085,2635,0,465,3731
1240,1085,2635,0,465,3731
1240,1085,2635,0,465,3731
1240,1085,2635,0,465,3731
1240,1085,2635,0,465,3731
1240,1085,2635,0,465,3731
1240,1085,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
