GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,774,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,1084,2632,0,465,3753
1239,1084,2632,0,465,3753
1393,1239,2632,0,465,3753
1393,1239,2632,0,465,3753
1393,1393,2632,0,465,3793
1393,1393,2787,0,465,3793
1393,1393,2787,0,465,3793
1393,1393,2787,0,465,3793
1393,1548,2787,0,465,3793
1548,1548,2787,0,465,3793
1548,1548,2787,0,465,3793
1548,1548,2787,0,464,3793
1548,1548,2786,0,464,3793
1548,1548,2787,0,464,3793
1548,1548,2787,0,465,3793
1548,1548,2787,0,465,3793
1548,1548,2787,0,465,3793
1548,1548,2787,0,465,3793
1393,1548,2787,0,465,3793
1393,1548,2787,0,465,3793
1393,1548,2787,0,465,3793
1393,1393,2787,0,465,3793
1393,1393,2787,0,465,3793
1393,1393,2787,0,465,3793
1393,1393,2787,0,465,3793
1393,1393,2787,0,465,3793
1393,1393,2787,0,465,3793
1393,1393,2787,0,465,3793
1393,1393,2787,0,465,3793
1393,1393,2787,0,465,3793
1393,1239,2787,0,465,3793
1393,1239,2787,0,465,3793
1393,1239,2632,0,465,3753
1393,1239,2632,0,465,3753
1393,1239,2632,0,465,3753
1393,1239,2632,0,465,3753
1393,1239,2632,0,465,3753
1393,1239,2632,0,465,3753
1393,1239,2632,0,465,3753
1393,1239,2632,0,465,3753
1393,1239,2632,0,465,3753
1393,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1239,1084,2632,0,465,3753
1239,1084,2632,0,465,3753
1239,1084,2632,0,465,3753
1239,1084,2632,0,465,3753
1239,1084,2632,0,465,3753
1239,1084,2632,0,465,3753
1239,1084,2632,0,465,3753
1239,1084,2632,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,1084,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
1239,929,2634,0,465,3753
