GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1241,930,2636,0,465,3772
1241,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1241,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1395,1395,2635,0,465,3772
1395,1395,2635,0,465,3772
1395,1395,2635,0,465,3812
1395,1550,2635,0,465,3812
1395,1395,2635,0,465,3812
1395,1395,2635,0,465,3812
1395,1395,2635,0,465,3812
1395,1395,2635,0,465,3772
1395,1395,2635,0,465,3772
1395,1395,2635,0,465,3772
1395,1395,2635,0,465,3772
1395,1395,2635,0,465,3772
1395,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1240,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1240,2636,0,465,3772
1240,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
