GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,620,2635,0,465,3731
1085,620,2635,0,465,3731
1085,620,2635,0,465,3731
1085,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2480,0,465,3731
930,620,2481,0,465,3731
930,620,2480,0,465,3731
930,620,2481,0,465,3731
930,620,2480,0,465,3731
930,620,2481,0,465,3731
930,620,2481,0,465,3731
930,620,2481,0,465,3731
930,620,2481,0,465,3691
930,620,2481,0,465,3691
775,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2480,0,465,3691
930,620,2480,0,465,3691
930,620,2480,0,465,3691
930,620,2480,0,465,3691
930,620,2480,0,465,3691
930,620,2480,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
775,620,2481,0,465,3691
775,620,2481,0,465,3691
775,620,2481,0,465,3691
775,620,2481,0,465,3691
775,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
775,620,2481,0,465,3691
775,620,2481,0,465,3691
775,620,2481,0,465,3691
775,620,2481,0,465,3691
775,620,2481,0,465,3691
775,620,2481,0,465,3691
775,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3651
930,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3691
930,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
