GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1084,619,2634,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1083,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
929,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1083,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1083,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3714
929,774,2634,0,465,3714
929,774,2634,0,465,3714
929,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2634,0,465,3714
929,774,2634,0,465,3714
929,774,2634,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3714
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1393,1238,2632,0,464,3753
1393,1238,2786,0,464,3753
1393,1393,2786,0,464,3753
1393,1393,2786,0,464,3753
1393,1393,2786,0,464,3793
1392,1393,2786,0,464,3793
1392,1548,2786,0,464,3793
1392,1548,2786,0,464,3793
1392,1548,2786,0,464,3793
1547,1548,2786,0,464,3793
1547,1702,2786,0,464,3793
1547,1702,2786,0,464,3793
1547,1702,2786,0,464,3793
1547,1702,2786,0,464,3793
1547,1548,2786,0,464,3793
1547,1548,2786,0,464,3793
1547,1548,2786,0,464,3793
1547,1548,2786,0,464,3793
1547,1548,2786,0,464,3793
1547,1548,2786,0,464,3793
1547,1548,2786,0,464,3793
1547,1548,2786,0,464,3793
1392,1393,2786,0,464,3793
1392,1393,2786,0,464,3793
1392,1393,2786,0,464,3793
1392,1393,2786,0,464,3793
1392,1393,2786,0,464,3793
1392,1393,2786,0,464,3793
1392,1393,2786,0,464,3793
1392,1393,2786,0,464,3793
1393,1393,2786,0,464,3793
1393,1238,2786,0,464,3793
1393,1238,2786,0,464,3793
1393,1238,2786,0,464,3793
1393,1238,2786,0,464,3793
1393,1238,2786,0,464,3793
1393,1238,2786,0,464,3793
1393,1238,2786,0,464,3793
1393,1238,2786,0,464,3753
1393,1238,2786,0,464,3753
1393,1238,2787,0,464,3753
1393,1238,2632,0,465,3753
1393,1084,2632,0,465,3753
1393,1084,2632,0,465,3753
1393,1084,2632,0,465,3753
1393,1084,2632,0,465,3753
1393,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2787,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,929,2632,0,465,3753
1238,1084,2632,0,465,3753
1238,1084,2787,0,465,3753
1238,1084,2787,0,465,3753
1238,1084,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,929,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1083,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1083,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1238,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
929,774,2632,0,465,3753
929,774,2632,0,465,3753
1084,774,2632,0,465,3753
1084,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
