GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
310,465,2482,0,465,3531
310,620,2482,0,465,3531
310,620,2481,0,465,3531
310,620,2481,0,465,3531
465,620,2481,0,465,3571
465,620,2481,0,465,3571
465,620,2481,0,465,3571
465,620,2481,0,465,3571
465,620,2481,0,465,3571
465,620,2481,0,465,3571
465,620,2481,0,465,3571
465,620,2481,0,465,3571
620,620,2481,0,465,3571
620,620,2481,0,465,3571
620,620,2481,0,465,3571
620,620,2481,0,465,3571
620,620,2481,0,465,3571
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
620,620,2481,0,465,3611
775,620,2481,0,465,3611
775,620,2481,0,465,3611
775,620,2481,0,465,3611
775,620,2481,0,465,3611
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
775,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,620,2481,0,465,3651
930,775,2481,0,465,3651
930,775,2481,0,465,3651
930,775,2480,0,465,3651
930,775,2480,0,465,3651
930,775,2480,0,465,3651
930,775,2480,0,465,3651
930,930,2480,0,465,3651
930,930,2480,0,465,3651
930,930,2480,0,465,3651
930,930,2480,0,465,3651
930,930,2480,0,465,3651
930,930,2480,0,465,3691
930,930,2480,0,465,3691
930,930,2480,0,465,3691
930,930,2480,0,465,3691
930,930,2480,0,465,3691
930,930,2480,0,465,3691
930,930,2480,0,465,3691
930,930,2480,0,465,3691
930,930,2480,0,465,3691
930,930,2480,0,465,3691
930,930,2480,0,465,3691
930,775,2480,0,465,3691
930,775,2480,0,465,3691
