GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,930,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
930,775,2636,0,465,3772
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,775,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2636,0,465,3772
1240,930,2636,0,465,3772
1240,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,1085,2636,0,465,3772
