GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1085,775,2791,0,465,3812
1085,775,2791,0,465,3812
1085,775,2791,0,465,3812
1085,930,2790,0,465,3812
1085,930,2790,0,465,3812
1085,930,2790,0,465,3812
1240,930,2790,0,465,3812
1240,930,2790,0,465,3812
1240,930,2790,0,465,3812
1240,930,2790,0,465,3812
1240,930,2790,0,465,3812
1240,930,2790,0,465,3812
1240,930,2790,0,465,3812
1240,930,2790,0,465,3812
1240,930,2790,0,465,3812
1240,930,2790,0,465,3812
1240,775,2790,0,465,3812
1240,930,2790,0,465,3812
1085,775,2790,0,465,3812
1085,775,2790,0,465,3812
1085,775,2790,0,465,3812
1085,775,2790,0,465,3812
1085,775,2790,0,465,3812
1085,775,2790,0,465,3812
1085,775,2790,0,465,3812
1085,775,2790,0,465,3812
1085,930,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,930,2790,0,465,3812
1085,930,2790,0,465,3812
1085,930,2790,0,465,3812
1085,930,2790,0,465,3812
1085,930,2790,0,465,3812
1085,930,2790,0,465,3812
1085,930,2790,0,465,3812
1085,930,2790,0,465,3812
1085,930,2790,0,465,3812
1085,930,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1085,2790,0,465,3812
1085,1240,2790,0,465,3812
1085,1240,2790,0,465,3812
1085,1395,2790,0,465,3812
1240,1395,2790,0,465,3812
1240,1550,2790,0,465,3812
1240,1550,2790,0,465,3812
1240,1550,2790,0,465,3812
1240,1550,2790,0,465,3812
1240,1550,2790,0,465,3812
1240,1550,2790,0,465,3812
1240,1550,2790,0,465,3812
1240,1550,2790,0,465,3812
1240,1550,2790,0,465,3812
1240,1550,2790,0,465,3812
1240,1395,2790,0,465,3812
1085,1395,2790,0,465,3812
1085,1395,2790,0,465,3812
1085,1395,2790,0,465,3812
1085,1395,2790,0,465,3812
1085,1395,2790,0,465,3812
1085,1550,2790,0,465,3812
1240,1550,2788,0,465,3812
1240,1550,2788,0,465,3812
1240,1550,2788,0,465,3812
1240,1550,2788,0,465,3812
1240,1705,2788,0,465,3812
