GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1394,930,2790,0,465,3800
1394,930,2790,0,465,3800
1394,930,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1085,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1239,2790,0,465,3800
1394,1394,2790,0,465,3800
1394,1394,2788,0,465,3800
1394,1394,2788,0,465,3800
1548,1549,2788,0,465,3800
1548,1549,2788,0,465,3800
1548,1549,2788,0,465,3800
1548,1704,2788,0,465,3800
1548,1704,2788,0,465,3800
1548,1859,2788,0,465,3800
1548,1859,2788,0,465,3800
1548,1859,2788,0,465,3800
1548,1859,2788,0,465,3800
1548,1704,2788,0,465,3800
1548,1704,2788,0,465,3800
1548,1704,2788,0,465,3800
1548,1704,2788,0,465,3800
1548,1704,2788,0,465,3800
1548,1704,2788,0,465,3800
1548,1704,2788,0,465,3800
1548,1549,2788,0,465,3800
1548,1549,2788,0,465,3800
1548,1549,2788,0,465,3800
1548,1549,2788,0,465,3800
1548,1549,2788,0,465,3800
1548,1549,2788,0,465,3800
1393,1549,2788,0,465,3800
1393,1549,2788,0,465,3800
1393,1549,2788,0,465,3800
1394,1394,2788,0,465,3800
1394,1394,2788,0,465,3800
1394,1394,2788,0,465,3800
1394,1394,2788,0,465,3800
1394,1394,2788,0,465,3800
1394,1394,2788,0,465,3800
1394,1394,2788,0,465,3800
1394,1394,2788,0,465,3800
1394,1394,2788,0,465,3800
1394,1394,2788,0,465,3800
1394,1394,2790,0,465,3800
1394,1239,2790,0,465,3800
1394,1239,2790,0,465,3800
1394,1239,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,930,2790,0,465,3800
1239,930,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,1085,2790,0,465,3800
1239,930,2790,0,465,3800
1239,930,2790,0,465,3800
1239,930,2790,0,465,3800
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1239,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,930,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2791,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2790,0,465,3760
1240,775,2791,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1085,775,2790,0,465,3760
1085,775,2790,0,465,3760
1085,775,2790,0,465,3760
1085,775,2790,0,465,3760
1240,775,2790,0,465,3760
1085,775,2790,0,465,3760
1085,775,2790,0,465,3760
1085,775,2791,0,465,3760
1085,775,2790,0,465,3760
1085,775,2790,0,465,3760
1085,775,2790,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2790,0,465,3760
1085,775,2790,0,465,3760
1085,775,2790,0,465,3760
1085,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2790,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3720
930,775,2791,0,465,3720
930,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
930,775,2791,0,465,3720
930,775,2791,0,465,3720
930,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3720
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2636,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
1085,775,2791,0,465,3760
