GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
930,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,930,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2634,0,465,3731
1085,1240,2634,0,465,3772
1085,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1394,2634,0,465,3772
1240,1394,2634,0,465,3772
1240,1394,2634,0,465,3772
1395,1394,2634,0,465,3772
1240,1394,2634,0,465,3772
1240,1394,2634,0,465,3772
1240,1239,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3731
1085,1085,2634,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
775,620,2635,0,465,3691
775,620,2636,0,465,3691
775,620,2636,0,465,3691
775,620,2636,0,465,3691
775,620,2636,0,465,3691
775,620,2636,0,465,3691
775,620,2635,0,465,3691
775,620,2635,0,465,3691
775,620,2635,0,465,3691
775,620,2635,0,465,3691
775,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3691
775,620,2635,0,465,3691
775,620,2635,0,465,3691
775,620,2636,0,465,3691
775,620,2636,0,465,3691
775,620,2636,0,465,3691
775,620,2636,0,465,3691
775,620,2636,0,465,3691
775,620,2635,0,465,3691
775,620,2635,0,465,3691
775,620,2635,0,465,3691
775,620,2635,0,465,3691
775,620,2635,0,465,3691
775,620,2635,0,465,3691
775,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,620,2635,0,465,3691
930,775,2635,0,465,3691
930,775,2635,0,465,3691
930,775,2635,0,465,3731
930,930,2635,0,465,3731
930,930,2635,0,465,3731
930,930,2635,0,465,3731
930,930,2635,0,465,3731
930,930,2635,0,465,3731
930,1085,2635,0,465,3731
930,1085,2635,0,465,3731
930,1085,2635,0,465,3731
930,1085,2635,0,465,3731
930,1240,2634,0,465,3731
1085,1240,2634,0,465,3731
1085,1240,2634,0,465,3731
1085,1395,2634,0,465,3731
1085,1395,2634,0,465,3731
1085,1395,2634,0,465,3731
1085,1395,2634,0,465,3731
1085,1395,2634,0,465,3731
1085,1395,2634,0,465,3731
1085,1550,2634,0,465,3731
1085,1550,2634,0,465,3731
1085,1550,2634,0,465,3731
1085,1550,2634,0,465,3731
1085,1549,2634,0,465,3731
1084,1549,2634,0,465,3772
1084,1704,2634,0,465,3772
1084,1704,2634,0,465,3772
1239,1704,2634,0,465,3772
1239,1704,2632,0,465,3772
1239,1859,2632,0,465,3772
1239,1859,2787,0,620,3812
1239,1859,2787,0,620,3812
1239,1859,2787,0,620,3812
1239,2014,2787,0,620,3812
1239,2014,2787,0,620,3812
1239,2014,2787,0,620,3812
1239,2013,2787,0,620,3812
1239,2013,2787,0,620,3812
1239,2013,2787,0,620,3812
1239,2013,2787,0,620,3812
1393,2013,2787,0,620,3812
1393,2168,2787,0,620,3812
1393,2168,2787,0,619,3812
1393,2168,2787,0,619,3812
1393,2168,2787,0,619,3812
1393,2168,2787,0,619,3812
1393,2168,2786,0,619,3812
1393,2168,2787,0,619,3812
1393,2168,2787,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2323,2786,0,619,3852
1393,2478,2786,0,619,3852
1393,2632,2786,0,619,3852
1393,2786,2786,0,619,3852
1393,2786,2786,0,619,3852
1393,2786,2786,0,619,3852
1393,2941,2786,0,619,3852
1393,2941,2786,0,619,3852
1393,2941,2786,0,619,3852
1393,2941,2786,0,619,3852
1393,2941,2786,0,619,3852
1393,2941,2786,0,619,3852
1393,3096,2786,0,619,3852
1393,3096,2786,0,619,3812
1393,3096,2786,0,619,3812
1393,3096,2786,0,619,3812
1393,3096,2786,0,619,3812
1393,3096,2786,0,619,3812
1393,3096,2786,0,619,3812
1393,3096,2786,0,619,3812
1393,3096,2786,0,619,3812
1393,3096,2786,0,619,3812
1393,3251,2786,0,619,3812
1393,3251,2786,0,619,3812
1238,3251,2786,0,619,3812
1238,3251,2786,0,619,3812
1238,3251,2786,0,619,3812
1238,3251,2786,0,619,3812
1238,3251,2786,0,619,3812
1238,3251,2786,0,619,3812
1238,3251,2786,0,619,3812
1238,3251,2786,0,619,3812
1238,3251,2786,0,619,3812
1238,3251,2786,0,619,3812
1238,3251,2786,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
1238,3405,2631,0,619,3812
