GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1859,929,2788,0,465,3812
1859,929,2788,0,465,3812
1859,929,2788,0,465,3812
1859,929,2787,0,465,3812
1859,1084,2787,0,465,3812
1859,1084,2788,0,465,3812
1859,1084,2788,0,465,3812
1859,929,2788,0,465,3812
1859,929,2788,0,465,3812
1859,929,2788,0,465,3812
1704,929,2788,0,465,3812
1704,929,2788,0,465,3812
1704,929,2788,0,465,3812
1704,929,2788,0,465,3812
1704,929,2788,0,465,3812
1704,929,2788,0,465,3812
1704,929,2788,0,465,3812
1704,929,2788,0,465,3812
1704,929,2788,0,465,3812
1549,929,2788,0,465,3772
1549,929,2788,0,465,3772
1549,929,2634,0,465,3772
1550,930,2634,0,465,3772
1550,930,2634,0,465,3772
1550,930,2634,0,465,3772
1550,930,2634,0,465,3772
1550,930,2634,0,465,3772
1550,930,2634,0,465,3772
1550,930,2634,0,465,3772
1550,930,2634,0,465,3772
1395,930,2634,0,465,3772
1395,930,2634,0,465,3772
1395,930,2634,0,465,3772
1395,775,2634,0,465,3772
1395,775,2634,0,465,3772
1395,775,2634,0,465,3772
1395,775,2634,0,465,3772
1395,775,2634,0,465,3772
1395,775,2634,0,465,3772
1395,775,2634,0,465,3772
1395,775,2634,0,465,3772
1395,775,2634,0,465,3772
1395,775,2634,0,465,3772
1395,775,2635,0,465,3772
1395,775,2635,0,465,3772
1240,775,2635,0,465,3772
1240,775,2635,0,465,3772
1240,775,2635,0,465,3772
1240,775,2635,0,465,3772
1240,775,2635,0,465,3772
1240,775,2635,0,465,3772
1240,775,2635,0,465,3772
1240,930,2635,0,465,3772
1240,930,2634,0,465,3772
1240,930,2634,0,465,3772
1240,930,2634,0,465,3772
1240,930,2634,0,465,3772
1240,930,2634,0,465,3772
1240,930,2634,0,465,3772
1240,930,2634,0,465,3772
1240,930,2634,0,465,3772
1240,930,2634,0,465,3772
1240,930,2634,0,465,3772
1240,930,2635,0,465,3772
1240,930,2634,0,465,3772
1240,930,2635,0,465,3772
1240,930,2635,0,465,3772
1240,930,2635,0,465,3772
1240,930,2635,0,465,3772
1240,930,2635,0,465,3772
1240,930,2635,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1085,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1239,2634,0,465,3772
1240,1394,2634,0,465,3772
1394,1394,2634,0,465,3772
1394,1394,2634,0,465,3772
1394,1394,2634,0,465,3772
1394,1549,2634,0,465,3772
1394,1549,2632,0,465,3772
1394,1549,2632,0,465,3772
1394,1549,2632,0,465,3772
1394,1549,2632,0,465,3772
1394,1549,2632,0,465,3772
1394,1549,2632,0,465,3772
1394,1549,2632,0,465,3772
1394,1549,2632,0,465,3772
1394,1549,2632,0,465,3772
1394,1394,2632,0,465,3772
1394,1394,2634,0,465,3772
1394,1394,2634,0,465,3772
1394,1394,2634,0,465,3772
1394,1394,2634,0,465,3772
1394,1394,2634,0,465,3772
1394,1394,2634,0,465,3772
1394,1394,2634,0,465,3772
1394,1239,2634,0,465,3772
1394,1239,2634,0,465,3772
1395,1239,2634,0,465,3772
1240,1239,2634,0,465,3772
1240,1239,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
