GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1395,775,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,930,2636,0,465,3778
1395,1085,2635,0,465,3778
1395,1085,2636,0,465,3778
1395,1085,2635,0,465,3778
1395,1085,2635,0,465,3778
1395,1085,2635,0,465,3778
1395,1085,2635,0,465,3778
1395,1085,2635,0,465,3778
1395,1085,2635,0,465,3778
1395,1085,2635,0,465,3778
1240,1085,2635,0,465,3778
1395,1085,2635,0,465,3778
1395,1240,2635,0,465,3778
1395,1240,2635,0,465,3778
1395,1240,2635,0,465,3778
1395,1240,2635,0,465,3778
1395,1240,2635,0,465,3778
1395,1240,2635,0,465,3778
1395,1240,2635,0,465,3778
1395,1240,2635,0,465,3778
1395,1240,2635,0,465,3778
1395,1240,2635,0,465,3778
1395,1240,2635,0,465,3778
1395,1240,2635,0,465,3778
1240,1240,2635,0,465,3778
1240,1085,2635,0,465,3778
1240,1085,2635,0,465,3778
1240,1085,2635,0,465,3778
1240,1085,2636,0,465,3778
1240,1085,2636,0,465,3778
1240,1085,2636,0,465,3778
1240,1085,2636,0,465,3778
1240,1085,2636,0,465,3778
1240,1240,2635,0,465,3778
1240,1240,2635,0,465,3778
1240,1395,2635,0,465,3778
1395,1395,2790,0,465,3778
1395,1395,2790,0,465,3778
1395,1395,2790,0,465,3772
1395,1395,2790,0,465,3772
1395,1550,2790,0,465,3772
1395,1550,2790,0,465,3772
1395,1550,2790,0,465,3772
1395,1550,2790,0,465,3772
1550,1550,2790,0,465,3812
1550,1550,2790,0,465,3772
1550,1550,2790,0,465,3772
