GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
465,620,2637,0,465,3657
465,620,2637,0,465,3651
465,620,2637,0,465,3651
620,775,2637,0,465,3651
620,775,2637,0,465,3651
620,775,2637,0,465,3691
620,775,2637,0,465,3691
620,775,2637,0,465,3691
620,775,2637,0,465,3691
620,775,2637,0,465,3691
620,775,2637,0,465,3691
620,775,2637,0,465,3691
620,775,2637,0,465,3691
620,775,2637,0,465,3691
620,775,2637,0,465,3691
620,775,2637,0,465,3691
620,775,2637,0,465,3691
775,775,2637,0,465,3691
775,775,2637,0,465,3691
775,775,2637,0,465,3691
775,775,2637,0,465,3691
775,775,2637,0,465,3691
775,775,2637,0,465,3691
775,775,2637,0,465,3691
775,775,2637,0,465,3691
775,620,2637,0,465,3691
775,620,2637,0,465,3691
775,620,2637,0,465,3691
775,620,2637,0,465,3691
775,620,2637,0,465,3691
775,620,2637,0,465,3691
775,620,2637,0,465,3691
775,620,2637,0,465,3691
775,620,2637,0,465,3691
775,620,2637,0,465,3691
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3737
775,620,2637,0,465,3731
775,620,2637,0,465,3731
775,775,2636,0,465,3731
775,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,930,2636,0,465,3731
930,930,2636,0,465,3731
930,930,2636,0,465,3731
1085,930,2636,0,465,3731
1085,930,2636,0,465,3731
1085,930,2636,0,465,3731
1085,930,2636,0,465,3731
1085,930,2636,0,465,3731
1085,930,2636,0,465,3731
1085,930,2636,0,465,3731
1085,930,2636,0,465,3731
1085,930,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,930,2636,0,465,3731
1085,930,2636,0,465,3731
1085,930,2636,0,465,3731
1085,1085,2636,0,465,3731
1085,1085,2636,0,465,3731
1085,1085,2636,0,465,3731
1085,1240,2636,0,465,3731
1085,1240,2635,0,465,3772
1085,1240,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1550,2635,0,465,3772
1240,1550,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1395,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1240,1085,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,1085,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3772
1085,930,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
1085,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2636,0,465,3731
930,620,2637,0,465,3731
775,620,2637,0,465,3731
775,620,2637,0,465,3691
775,620,2637,0,465,3691
775,620,2637,0,465,3691
775,620,2637,0,465,3691
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,775,2636,0,465,3731
930,930,2636,0,465,3731
930,930,2636,0,465,3731
930,930,2636,0,465,3731
930,930,2636,0,465,3731
930,930,2636,0,465,3731
930,1085,2636,0,465,3731
930,1085,2636,0,465,3731
930,1085,2636,0,465,3731
930,1085,2636,0,465,3731
930,1240,2636,0,465,3731
930,1240,2636,0,465,3731
930,1240,2636,0,465,3731
930,1240,2636,0,465,3731
930,1240,2636,0,465,3731
930,1395,2636,0,465,3731
930,1395,2636,0,465,3731
930,1395,2635,0,465,3731
1085,1395,2636,0,465,3731
1085,1395,2635,0,465,3731
1085,1395,2635,0,465,3731
1085,1550,2635,0,465,3731
1085,1550,2635,0,465,3731
1085,1550,2635,0,465,3772
1085,1550,2635,0,465,3772
1085,1550,2635,0,465,3772
1085,1550,2635,0,465,3772
1085,1550,2635,0,465,3772
1085,1705,2635,0,465,3772
1085,1705,2635,0,465,3772
1085,1705,2635,0,465,3812
1085,1705,2635,0,465,3812
1085,1860,2635,0,620,3812
1240,1860,2790,0,620,3812
1240,1860,2790,0,620,3812
1240,1860,2790,0,620,3812
1240,1860,2788,0,620,3812
1240,1860,2788,0,620,3812
1240,1860,2788,0,620,3812
1240,2015,2788,0,620,3812
1240,2015,2788,0,620,3812
1240,2015,2788,0,620,3812
1240,2015,2788,0,620,3812
1240,2015,2788,0,620,3812
1240,2015,2788,0,620,3812
1240,2015,2788,0,620,3852
1240,2014,2788,0,620,3812
1240,2014,2788,0,620,3852
1239,2169,2788,0,620,3852
1239,2169,2788,0,620,3852
1239,2169,2788,0,620,3852
1394,2169,2788,0,620,3852
1394,2169,2788,0,620,3852
1394,2169,2788,0,620,3852
1394,2169,2788,0,620,3852
1394,2169,2788,0,620,3852
1394,2169,2788,0,620,3852
1394,2169,2788,0,620,3852
1394,2324,2788,0,620,3852
1394,2324,2788,0,620,3852
1394,2324,2788,0,620,3852
1394,2324,2788,0,620,3852
1394,2324,2787,0,620,3852
1394,2324,2787,0,620,3852
1394,2324,2787,0,620,3852
1394,2324,2787,0,620,3852
1394,2324,2787,0,620,3852
1394,2324,2787,0,620,3852
1394,2324,2787,0,620,3852
1394,2324,2787,0,620,3852
1394,2324,2787,0,620,3852
1394,2324,2787,0,620,3852
1394,2324,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2787,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2634,0,620,3812
1394,2479,2634,0,620,3812
1394,2479,2634,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2634,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2479,2788,0,620,3812
1394,2634,2787,0,620,3812
1394,2634,2632,0,620,3812
1394,2634,2632,0,620,3852
1394,2634,2634,0,465,3852
1394,2479,2634,0,465,3852
1394,2479,2634,0,465,3852
1394,2479,2634,0,620,3852
1394,2479,2634,0,620,3852
1394,2479,2632,0,620,3852
1394,2479,2634,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1549,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3852
1394,2634,2787,0,620,3812
1394,2634,2787,0,620,3812
1394,2634,2787,0,620,3812
1394,2634,2787,0,620,3812
1394,2479,2787,0,620,3812
1394,2634,2787,0,620,3812
1394,2479,2787,0,620,3812
1394,2634,2787,0,620,3812
1394,2634,2787,0,620,3812
1394,2634,2787,0,620,3812
1394,2479,2632,0,620,3812
1394,2479,2632,0,620,3812
1394,2479,2632,0,620,3812
1394,2479,2634,0,620,3812
1239,2479,2634,0,620,3812
1239,2479,2634,0,465,3812
1239,2479,2634,0,465,3812
1239,2479,2634,0,620,3812
1239,2479,2634,0,620,3812
1239,2479,2634,0,620,3812
1239,2479,2634,0,620,3812
1394,2479,2634,0,620,3812
1239,2479,2634,0,620,3812
1239,2479,2634,0,620,3812
1239,2479,2634,0,620,3812
1239,2479,2634,0,465,3812
1239,2479,2634,0,465,3812
1239,2479,2634,0,465,3812
1239,2479,2634,0,465,3812
1239,2479,2634,0,465,3812
1239,2479,2634,0,465,3812
1239,2479,2634,0,465,3812
1239,2479,2634,0,465,3812
1239,2479,2634,0,620,3812
1239,2479,2634,0,620,3812
1239,2479,2788,0,620,3812
1239,2479,2787,0,620,3852
1239,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3852
1394,2479,2787,0,620,3892
1394,2634,2787,0,775,3892
1394,2634,2942,0,775,3892
1394,2634,2942,0,775,3892
1394,2632,2942,0,775,3892
1394,2632,2942,0,775,3892
1393,2632,2942,0,774,3892
1393,2632,2942,0,774,3892
1393,2632,2942,0,774,3892
1393,2632,2942,0,774,3932
1393,2632,2942,0,774,3932
1393,2632,2942,0,774,3932
1393,2632,2942,0,774,3932
1393,2632,2942,0,774,3932
1393,2632,2942,0,774,3932
1393,2632,2942,0,774,3932
1393,2632,2942,0,774,3932
1393,2632,2942,0,774,3932
1393,2632,2942,0,774,3932
1393,2632,2942,0,774,3892
1393,2632,2942,0,774,3892
1393,2787,2942,0,774,3892
1393,2942,2941,0,774,3892
1393,3097,2941,0,774,3892
1393,3097,2941,0,774,3892
1393,3252,2941,0,774,3892
1393,3252,2941,0,774,3892
1393,3252,2941,0,774,3892
1393,3252,2941,0,774,3892
1393,3252,2941,0,774,3892
1393,3252,2941,0,774,3892
1393,3252,2941,0,774,3892
1393,3252,2941,0,774,3892
1393,3252,2941,0,774,3892
1393,3252,2941,0,774,3892
1393,3407,2941,0,774,3892
1393,3407,2941,0,774,3892
1393,3407,2786,0,774,3892
1393,3407,2786,0,774,3892
1393,3407,2786,0,774,3892
1393,3407,2786,0,774,3892
1393,3407,2786,0,774,3892
1393,3407,2786,0,619,3892
1393,3407,2786,0,619,3852
1393,3407,2786,0,619,3852
1393,3407,2786,0,619,3852
1393,3407,2786,0,619,3852
1393,3407,2786,0,619,3852
1393,3407,2786,0,619,3852
1393,3407,2786,0,619,3852
1239,3407,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2786,0,619,3852
1239,3562,2787,0,619,3852
1239,3562,2787,0,619,3852
1239,3562,2787,0,619,3852
1239,3562,2787,0,619,3852
1239,3562,2787,0,619,3852
1239,3562,2787,0,619,3852
1239,3562,2787,0,619,3852
1239,3562,2787,0,619,3852
1239,3562,2787,0,619,3852
1239,3562,2787,0,619,3812
1239,3562,2787,0,619,3812
1239,3562,2787,0,619,3812
1239,3562,2787,0,619,3812
1239,3562,2787,0,619,3812
1239,3562,2787,0,619,3812
1239,3562,2787,0,619,3812
1239,3562,2786,0,619,3852
1702,3560,2786,0,774,3892
2167,3559,2940,0,774,3932
2476,3559,2939,0,928,3932
3093,3403,3093,0,928,3972
3557,3401,3092,0,928,4012
4020,3401,3245,0,1082,4012
4482,3400,3245,0,1082,4052
4945,3400,3244,0,1082,4052
5407,3244,3244,0,1236,4093
5868,3243,3397,0,1235,4093
6331,3243,3397,0,1235,4133
6637,3241,3396,0,1235,4133
7100,3241,3396,0,1235,4133
7560,3240,3394,0,1389,4173
7869,3086,3548,0,1389,4173
8023,3240,3548,0,1389,4173
7869,3240,3394,0,1389,4173
8023,3240,3547,0,1389,4213
8174,3239,3547,0,1388,4213
8483,3239,3547,0,1543,4246
8788,3239,3700,0,1542,4286
9096,3237,3700,0,1542,4286
9400,3237,3698,0,1695,4286
9709,3082,3852,0,1695,4326
10013,3082,3851,0,1695,4326
10321,3080,3851,0,1695,4326
10783,3080,3849,0,1849,4366
11086,3079,3849,0,1848,4366
11394,3079,3849,0,1848,4366
11697,2925,4001,0,1848,4407
12005,2924,4001,0,1847,4407
12313,2924,4001,0,1847,4407
12616,2924,4000,0,1847,4407
12770,3078,4000,0,2000,4447
12770,3077,4000,0,2000,4447
12923,3077,4152,0,2000,4447
13072,3077,4152,0,2000,4487
13226,3077,4152,0,2153,4487
13379,3075,4152,0,2153,4487
13681,2922,4304,0,2153,4527
13835,2922,4304,0,2153,4527
14142,2920,4304,0,2153,4527
14296,2920,4304,0,2153,4527
14598,2920,4302,0,2152,4527
14905,2920,4302,0,2305,4567
15059,2919,4302,0,2305,4567
15360,2919,4300,0,2305,4567
